lat;lon;dir;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00;24:00:00;25:00:00;26:00:00;27:00:00;28:00:00;29:00:00;30:00:00
50.410487;-4.182797;E;0;0;0;0;0;0;0;2314;2181;1725;1708;1662;1639;1562;1626;1715;1883;1984;1427;0;0;0;0;0;0;0;0;0;0;0
50.37604;-4.1956315;E;0;0;0;0;0;0;0;35;49;125;130;151;160;129;124;129;111;109;101;0;0;0;0;0;0;0;0;0;0;0
50.387039;-4.089799;W;0;0;0;0;0;0;0;2270;2873;2266;2023;1952;2140;2023;2043;2175;2450;2543;2031;0;0;0;0;0;0;0;0;0;0;0
50.410487;-4.182797;W;0;0;0;0;0;0;0;1537;1726;1446;1453;1638;1846;1823;1988;2403;2583;2236;1722;0;0;0;0;0;0;0;0;0;0;0
50.387039;-4.089799;E;0;0;0;0;0;0;0;2223;2240;1844;1873;1993;2039;2004;2248;2259;2821;2547;1764;0;0;0;0;0;0;0;0;0;0;0
50.463161;-4.1020448;S;0;0;0;0;0;0;0;504;752;560;365;499;406;608;516;427;573;575;317;0;0;0;0;0;0;0;0;0;0;0
50.463161;-4.1020448;N;0;0;0;0;0;0;0;476;485;420;407;520;389;501;443;517;412;498;316;0;0;0;0;0;0;0;0;0;0;0
50.39309;-4.0918942;W;0;0;0;0;0;0;0;2008;1925;1442;1474;1976;1543;1616;1787;1610;1917;2038;1562;0;0;0;0;0;0;0;0;0;0;0
50.419102;-4.2326621;E;0;0;0;0;0;0;0;1734;1554;1170;1188;1149;1064;1022;1108;1120;1431;1363;1036;0;0;0;0;0;0;0;0;0;0;0
50.39309;-4.0918942;E;0;0;0;0;0;0;0;2453;2721;2353;2165;2255;1813;2199;2259;2560;2957;2890;2747;0;0;0;0;0;0;0;0;0;0;0
50.419102;-4.2326621;W;0;0;0;0;0;0;0;1368;1165;1073;977;1001;995;951;1078;1309;1671;1788;1018;0;0;0;0;0;0;0;0;0;0;0
