link;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00;24:00:00;25:00:00;26:00:00;27:00:00;28:00:00;29:00:00;30:00:00
20016;0;0;0;0;0;0;0;2314;2181;1725;1708;1662;1639;1562;1626;1715;1883;1984;1427;0;0;0;0;0;0;0;0;0;0;0
73149;0;0;0;0;0;0;0;643;711;399;345;330;333;335;385;419;440;428;385;0;0;0;0;0;0;0;0;0;0;0
71882;0;0;0;0;0;0;0;128;235;108;58;98;95;80;85;178;121;101;51;0;0;0;0;0;0;0;0;0;0;0
73148;0;0;0;0;0;0;0;365;465;350;321;338;399;410;513;678;883;762;446;0;0;0;0;0;0;0;0;0;0;0
71881;0;0;0;0;0;0;0;64;262;70;68;95;116;99;156;169;137;128;78;0;0;0;0;0;0;0;0;0;0;0
68518;0;0;0;0;0;0;0;1537;1726;1446;1453;1638;1846;1823;1988;2403;2583;2236;1722;0;0;0;0;0;0;0;0;0;0;0
20734;0;0;0;0;0;0;0;2270;2873;2266;2023;1952;2140;2023;2043;2175;2450;2543;2031;0;0;0;0;0;0;0;0;0;0;0
42525;0;0;0;0;0;0;0;2223;2240;1844;1873;1993;2039;2004;2248;2259;2821;2547;1764;0;0;0;0;0;0;0;0;0;0;0
76540;0;0;0;0;0;0;0;2473;2743;2117;1774;1725;1776;1755;1886;2055;1743;1805;1416;0;0;0;0;0;0;0;0;0;0;0
29422;0;0;0;0;0;0;0;38;46;22;21;27;26;24;31;42;28;35;34;0;0;0;0;0;0;0;0;0;0;0
76302;0;0;0;0;0;0;0;2628;2477;2150;1885;1917;1884;2039;2068;2321;2435;2394;1854;0;0;0;0;0;0;0;0;0;0;0
29421;0;0;0;0;0;0;0;17;45;27;26;29;26;39;34;66;49;56;46;0;0;0;0;0;0;0;0;0;0;0
4800;0;0;0;0;0;0;0;21;14;19;19;11;19;16;10;13;20;33;25;0;0;0;0;0;0;0;0;0;0;0
89000;0;0;0;0;0;0;0;252;315;207;200;234;253;229;225;306;315;445;223;0;0;0;0;0;0;0;0;0;0;0
29918;0;0;0;0;0;0;0;0;5;9;7;9;8;7;3;9;9;2;1;0;0;0;0;0;0;0;0;0;0;0
39540;0;0;0;0;0;0;0;264;510;317;240;262;240;270;282;387;547;483;319;0;0;0;0;0;0;0;0;0;0;0
29917;0;0;0;0;0;0;0;5;6;13;6;9;8;5;5;5;5;5;2;0;0;0;0;0;0;0;0;0;0;0
79283;0;0;0;0;0;0;0;82;129;53;30;64;38;85;56;102;100;132;74;0;0;0;0;0;0;0;0;0;0;0
79282;0;0;0;0;0;0;0;40;69;46;42;63;77;61;57;62;61;93;48;0;0;0;0;0;0;0;0;0;0;0
